,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,1.32708856691209,0.921,0.516,0,0,C1qtnf3
2,0,1.02288005448485,0.985,0.739,0,0,Mfap5
3,0,1.0158619711716,0.92,0.595,0,0,Egfl6
4,0,0.962504656003457,0.797,0.409,0,0,Igfbp3
5,0,0.91233021665064,0.985,0.721,0,0,Sfrp1
6,0,0.862125220457426,1,0.953,0,0,Fbln2
7,0,0.787616161872195,0.984,0.831,0,0,Mfap2
8,0,0.746761861250657,0.987,0.888,0,0,Aspn
9,0,0.744732756716953,1,0.98,0,0,Fstl1
10,0,0.743333785849003,0.762,0.37,0,0,Pcsk5
11,0,0.687486588666849,0.997,0.946,0,0,Fbn1
12,9.38759952180087e-304,0.909110455236353,0.99,0.867,1.74534250309322e-299,0,Postn
13,1.72120802700662e-291,0.717656439378622,0.852,0.57,3.20006996381072e-287,0,Efemp1
14,5.70315341247867e-260,0.737694194460071,0.951,0.832,1.06033028244803e-255,0,Plagl1
15,8.80209554711008e-226,0.688075760480355,0.96,0.84,1.63648560411871e-221,0,Mfap4
16,4.33438974850127e-203,0.702426915953459,0.947,0.785,8.05849742041355e-199,0,Igf1
17,3.16389284380722e-171,0.715179327805758,0.976,0.904,5.88230957520639e-167,0,Col8a1
18,1.18386011352273e-131,0.732000138976619,0.943,0.864,2.20103272306147e-127,0,H19
19,3.40542783652623e-128,0.861988616333201,0.746,0.56,6.33137143366956e-124,0,Mest
20,1.63349486261185e-74,0.660033482974446,0.357,0.196,3.03699364856794e-70,0,Slpi
21,9.42124136896671e-265,0.605003397145664,0.999,0.934,1.75159719531829e-260,1,Cyp51
22,2.68307320405272e-210,0.455935926769409,0.999,0.98,4.98836970097483e-206,1,Scd2
23,1.77867417633651e-205,0.586316825602047,0.988,0.816,3.30691102864485e-201,1,Tnc
24,8.07738818351001e-191,0.490778271583997,0.963,0.784,1.50174801107818e-186,1,Hmgcr
25,9.66118912771548e-189,0.541672400074471,0.975,0.835,1.79620828262486e-184,1,Zyx
26,5.17320411733618e-180,0.484411002725989,0.971,0.815,9.61802109495143e-176,1,Thy1
27,5.11289090593053e-175,0.446107053755301,0.984,0.896,9.50588677230604e-171,1,Acly
28,1.29907879617337e-170,0.505913938854122,0.999,0.954,2.41524729784553e-166,1,Fbln2
29,1.78274063748623e-170,0.458856830552434,0.991,0.884,3.31447139321439e-166,1,Msmo1
30,5.60882446033465e-169,0.476774655029359,0.997,0.945,1.04279264366542e-164,1,Hmgcs1
31,2.01165712134955e-165,0.469774958782411,0.973,0.846,3.74007292001308e-161,1,Idi1
32,4.8664099055692e-160,0.549009271156527,0.977,0.727,9.04762929643426e-156,1,Sfrp1
33,9.28125655785994e-159,0.458813111623416,0.998,0.959,1.72557121923732e-154,1,Hspa5
34,3.8220016218324e-156,0.439586842849687,0.734,0.437,7.1058654153108e-152,1,F3
35,4.63940220059415e-144,0.540661746988544,1,0.979,8.62557657134464e-140,1,Acta2
36,5.81948070664467e-143,0.503184029672045,0.999,0.972,1.08195785297938e-138,1,Tagln
37,5.45979266852816e-137,0.500887971658798,0.719,0.448,1.01508465293276e-132,1,Cnn1
38,2.01399909830921e-118,0.475945589862651,0.513,0.266,3.74442712357648e-114,1,Ctgf
39,6.00645432608687e-116,0.441175922764464,0.945,0.825,1.11671998830607e-111,1,Vcl
40,3.11906255806586e-99,0.538973387203609,0.898,0.694,5.79896110795604e-95,1,Ptx3
41,0,0.84123227967376,0.793,0.287,0,2,Msx2
42,0,0.835185475080637,0.958,0.61,0,2,Ptprd
43,4.5109570565192e-293,1.69682566405674,0.965,0.773,8.3867713594805e-289,2,Sfrp2
44,8.82987668555134e-281,0.913393091191898,0.867,0.511,1.64165067337771e-276,2,Abi3bp
45,1.27209987849838e-267,0.70233233703523,0.979,0.852,2.36508809410419e-263,2,Adgrl2
46,2.28171612797282e-264,0.798107166240895,0.985,0.823,4.24216662512706e-260,2,Tnmd
47,9.99530178640595e-253,0.857487656874087,1,0.99,1.85832650812859e-248,2,Fn1
48,9.2642910126091e-220,1.01828603515738,0.984,0.912,1.72241698506428e-215,2,1500015O10Rik
49,4.93667706505722e-215,0.715881233236475,0.995,0.948,9.17826999935438e-211,2,Thbs2
50,1.62614868173642e-214,0.607352606531709,0.575,0.259,3.02333562908436e-210,2,Id4
51,1.32756439986169e-198,0.649006794771299,0.91,0.702,2.46820773222285e-194,2,Apod
52,1.38932084062196e-189,0.59929809467496,0.683,0.356,2.58302530688434e-185,2,Sorbs2
53,2.35864865566009e-188,0.691268411567197,0.963,0.789,4.38519958060324e-184,2,Igf1
54,2.60503242296434e-184,0.608049245119976,0.92,0.825,4.84327628077531e-180,2,Kifap3
55,4.57615693111822e-182,0.855491777988933,0.982,0.92,8.50799096633499e-178,2,Lum
56,5.84299044067182e-179,0.765723057309593,0.997,0.983,1.08632878272971e-174,2,Basp1
57,1.5105226610455e-169,0.705770172932983,0.992,0.963,2.80836373141579e-165,2,Col12a1
